#,Event,Date,Venue,Location,Attendance,url,fight_odds_url,fight_odds_url_2
612,UFC on ESPN: dos Anjos vs. Fiziev,2022-07-09,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_dos_Anjos_vs._Fiziev,https://www.bestfightodds.com/events/ufc-on-espn-dos-anjos-vs-fiziev-2501,
611,UFC 276: Adesanya vs. Cannonier,2022-07-02,T-Mobile Arena,"19,649",[118],https://en.wikipedia.org/wiki/UFC_276,https://www.bestfightodds.com/events/ufc-276-adesanya-vs-cannonier-2478,
610,UFC on ESPN: Tsarukyan vs. Gamrot,2022-06-25,UFC Apex,—,[119],https://en.wikipedia.org/wiki/UFC_on_ESPN:_Tsarukyan_vs._Gamrot,https://www.bestfightodds.com/events/ufc-on-espn-tsarukyan-vs-gamrot-2574,
609,UFC on ESPN: Kattar vs. Emmett,2022-06-18,Moody Center,"Austin, Texas, U.S.","13,689",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Kattar_vs._Emmett,https://www.bestfightodds.com/events/ufc-fight-night-kattar-vs-emmett-2523,
608,UFC 275: Teixeira vs. Procházka,2022-06-12,Singapore Indoor Stadium,"Kallang, Singapore","10,787",https://en.wikipedia.org/wiki/UFC_275,https://www.bestfightodds.com/events/ufc-275-teixeira-vs-prochazka-2561,
607,UFC Fight Night: Volkov vs. Rozenstruik,2022-06-04,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Rozenstruik,https://www.bestfightodds.com/events/ufc-fight-night-2010-2428,
606,UFC Fight Night: Holm vs. Vieira,2022-05-21,[123],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Holm_vs._Vieira,https://www.bestfightodds.com/events/ufc-fight-night-208-2418,
605,UFC on ESPN: Błachowicz vs. Rakić,2022-05-14,[124],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_B%C5%82achowicz_vs._Raki%C4%87,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412,
604,UFC 274: Oliveira vs. Gaethje,2022-05-07,Footprint Center,"Phoenix, Arizona, U.S.","17,232",https://en.wikipedia.org/wiki/UFC_274,https://www.bestfightodds.com/events/ufc-274-oliveira-vs-gaethje-2422,
603,UFC on ESPN: Font vs. Vera,2022-04-30,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Font_vs._Vera,https://www.bestfightodds.com/events/ufc-fight-night-font-vs-vera-2474,
602,UFC Fight Night: Lemos vs. Andrade,2022-04-23,[127],,,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Lemos_vs._Andrade,https://www.bestfightodds.com/events/ufc-fight-night-lemos-vs-andrade-2435,
601,UFC on ESPN: Luque vs. Muhammad 2,2022-04-16,[128],,,https://en.wikipedia.org/wiki/UFC_on_ESPN:_Luque_vs._Muhammad_2,https://www.bestfightodds.com/events/ufc-fight-night-207-2391,
600,UFC 273: Volkanovski vs. The Korean Zombie,2022-04-09,VyStar Veterans Memorial Arena,"Jacksonville, Florida, U.S.","14,605",https://en.wikipedia.org/wiki/UFC_273,https://www.bestfightodds.com/events/ufc-273-2411,
599,UFC on ESPN: Blaydes vs. Daukaus,2022-03-26,Nationwide Arena,"Columbus, Ohio, U.S.","18,630",https://en.wikipedia.org/wiki/UFC_on_ESPN:_Blaydes_vs._Daukaus,https://www.bestfightodds.com/events/ufc-fight-night-205-2376,
598,UFC Fight Night: Volkov vs. Aspinall,2022-03-19,The O2 Arena,"London, England, UK","17,081",https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Aspinall,https://www.bestfightodds.com/events/ufc-2414,
597,UFC Fight Night: Santos vs. Ankalaev,2022-03-12,UFC Apex,"Las Vegas, Nevada, U.S.",—,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Santos_vs._Ankalaev,https://www.bestfightodds.com/events/ufc-fight-night-204-2380,
596,UFC 272: Covington vs. Masvidal,2022-03-05,T-Mobile Arena,"19,425",[133],https://en.wikipedia.org/wiki/UFC_272,https://www.bestfightodds.com/events/ufc-fight-night-203-2343,
595,UFC Fight Night: Makhachev vs. Green,2022-02-26,UFC Apex,—,[134],https://en.wikipedia.org/wiki/UFC_Fight_Night:_Makhachev_vs._Green,https://www.bestfightodds.com/events/ufc-2413,
